repositorio,estrelas,data_criacao,idade_anos
codecrafters-io/build-your-own-x,538808,2018-05-09T12:03:18Z,8.26
sindresorhus/awesome,494620,2014-07-11T13:42:37Z,12.08
public-apis/public-apis,455507,2016-03-20T23:49:42Z,10.39
freeCodeCamp/freeCodeCamp,453823,2014-12-24T17:49:19Z,11.63
EbookFoundation/free-programming-books,394168,2013-10-11T06:50:37Z,12.83
openclaw/openclaw,385954,2025-11-24T10:16:47Z,0.71
nilbuild/developer-roadmap,364174,2017-03-15T13:45:52Z,9.41
donnemartin/system-design-primer,363198,2017-02-26T16:15:28Z,9.45
jwasham/coding-interview-university,358405,2016-06-06T02:34:12Z,10.18
vinta/awesome-python,313447,2014-06-27T21:00:06Z,12.12
