repositorio,estrelas,ultima_atualizacao,dias_desde_atualizacao
codecrafters-io/build-your-own-x,538973,2026-08-12T12:24:57Z,0
sindresorhus/awesome,494805,2026-08-12T12:23:29Z,0
public-apis/public-apis,455593,2026-08-12T12:26:06Z,0
freeCodeCamp/freeCodeCamp,453879,2026-08-12T12:26:39Z,0
EbookFoundation/free-programming-books,394214,2026-08-12T12:26:21Z,0
openclaw/openclaw,386039,2026-08-12T12:24:38Z,0
nilbuild/developer-roadmap,364216,2026-08-12T12:08:55Z,0
donnemartin/system-design-primer,363366,2026-08-12T12:16:09Z,0
jwasham/coding-interview-university,358467,2026-08-12T12:27:56Z,0
vinta/awesome-python,313531,2026-08-12T12:27:33Z,0
