repositorio,estrelas,issues_fechadas,issues_total,razao_issues_fechadas
codecrafters-io/build-your-own-x,538986,677,942,0.7187
sindresorhus/awesome,494831,352,368,0.9565
public-apis/public-apis,455609,911,921,0.9891
freeCodeCamp/freeCodeCamp,453882,21875,22048,0.9922
EbookFoundation/free-programming-books,394221,1254,1292,0.9706
openclaw/openclaw,386047,43367,46793,0.9268
nilbuild/developer-roadmap,364222,3183,3184,0.9997
donnemartin/system-design-primer,363376,127,399,0.3183
jwasham/coding-interview-university,358473,455,536,0.8489
vinta/awesome-python,313544,0,0,0.0
