repositorio,estrelas,possui_funding,plataformas_funding
codecrafters-io/build-your-own-x,543110,False,N/A
sindresorhus/awesome,500095,True,GITHUB;OPEN_COLLECTIVE;BUY_ME_A_COFFEE;CUSTOM
public-apis/public-apis,470794,False,N/A
freeCodeCamp/freeCodeCamp,454624,True,GITHUB;PATREON;CUSTOM
EbookFoundation/free-programming-books,395255,True,GITHUB
openclaw/openclaw,387693,True,GITHUB
donnemartin/system-design-primer,366143,False,N/A
nilbuild/developer-roadmap,365449,True,GITHUB
jwasham/coding-interview-university,359764,False,N/A
vinta/awesome-python,316176,False,N/A
