repositorio,estrelas,total_prs_aceitas,top_contribuidor,concentracao_top_contribuidor
codecrafters-io/build-your-own-x,540524,157,joaorlima,0.0667
sindresorhus/awesome,496982,700,subbareddypalagiri,0.0667
public-apis/public-apis,463183,2137,jromanetto,0.0333
freeCodeCamp/freeCodeCamp,454206,29105,laypatel13,0.0667
EbookFoundation/free-programming-books,394630,7421,eremes81,0.2
openclaw/openclaw,386560,25806,steipete,0.6333
nilbuild/developer-roadmap,364745,4396,github-actions,0.7667
donnemartin/system-design-primer,364456,210,Rohan5commit,0.0333
jwasham/coding-interview-university,359066,415,skyisuniverse,0.1333
vinta/awesome-python,314500,741,Goldziher,0.1667
