repositorio,estrelas,total_forks,data_criacao,idade_anos,total_prs_aceitas,total_releases,ultima_atualizacao,dias_desde_atualizacao,linguagem_primaria,licenca,arquivado,branch_padrao,discussions_habilitado,possui_funding,plataformas_funding,issues_fechadas,issues_total,razao_issues_fechadas,top_contribuidor,concentracao_top_contribuidor
codecrafters-io/build-your-own-x,543152,51219,2018-05-09T12:03:18Z,8.3,157,0,2026-08-26T18:46:04Z,0,Markdown,N/A,False,master,False,False,N/A,673,948,0.7099,joaorlima,0.0667
sindresorhus/awesome,500178,36587,2014-07-11T13:42:37Z,12.13,702,0,2026-08-26T18:46:36Z,0,N/A,Creative Commons Zero v1.0 Universal,False,main,False,True,GITHUB;OPEN_COLLECTIVE;BUY_ME_A_COFFEE;CUSTOM,352,368,0.9565,subbareddypalagiri,0.0667
public-apis/public-apis,470950,51933,2016-03-20T23:49:42Z,10.43,2157,0,2026-08-26T18:48:39Z,0,Python,MIT License,False,master,False,False,N/A,911,942,0.9671,deepshekhardas,0.0667
freeCodeCamp/freeCodeCamp,454633,46047,2014-12-24T17:49:19Z,11.67,29201,0,2026-08-26T18:35:52Z,0,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",False,main,False,True,GITHUB;PATREON;CUSTOM,21959,22108,0.9933,raisedadead,0.1
EbookFoundation/free-programming-books,395267,66700,2013-10-11T06:50:37Z,12.87,7424,0,2026-08-26T17:59:28Z,0,Python,Creative Commons Attribution 4.0 International,False,main,False,True,GITHUB,1256,1296,0.9691,eremes81,0.2
openclaw/openclaw,387709,81404,2025-11-24T10:16:47Z,0.75,28577,235,2026-08-26T18:45:00Z,0,TypeScript,Other,False,main,False,True,GITHUB,45276,48810,0.9276,steipete,0.7333
donnemartin/system-design-primer,366196,58072,2017-02-26T16:15:28Z,9.49,210,0,2026-08-26T18:48:20Z,0,Python,Other,False,master,False,False,N/A,127,405,0.3136,Rohan5commit,0.0333
nilbuild/developer-roadmap,365477,44855,2017-03-15T13:45:52Z,9.45,4401,1,2026-08-26T18:45:45Z,0,TypeScript,Other,False,master,False,True,GITHUB,3185,3189,0.9987,github-actions,0.7333
jwasham/coding-interview-university,359780,84737,2016-06-06T02:34:12Z,10.22,415,0,2026-08-26T18:24:33Z,0,N/A,Creative Commons Attribution Share Alike 4.0 International,False,main,False,False,N/A,455,536,0.8489,skyisuniverse,0.1333
vinta/awesome-python,316223,28572,2014-06-27T21:00:06Z,12.16,744,0,2026-08-26T18:42:17Z,0,Python,Other,False,master,False,False,N/A,0,0,0.0,Goldziher,0.1667
awesome-selfhosted/awesome-selfhosted,315342,14823,2015-06-01T02:33:17Z,11.24,0,1,2026-08-26T18:46:05Z,0,N/A,Other,False,master,False,False,N/A,0,0,0.0,N/A,0.0
practical-tutorials/project-based-learning,280956,36032,2017-04-12T05:07:46Z,9.37,194,0,2026-08-26T18:45:11Z,0,Python,MIT License,False,master,True,False,N/A,89,241,0.3693,enkeyz,0.1667
obra/superpowers,278002,24878,2025-10-09T19:45:18Z,0.88,167,12,2026-08-26T18:47:34Z,0,Shell,MIT License,False,main,False,True,GITHUB,755,866,0.8718,obra,0.6667
996icu/996.ICU,276778,20747,2019-03-26T07:31:14Z,7.42,1072,0,2026-08-26T18:35:28Z,0,N/A,Other,False,master,False,False,N/A,0,0,0.0,Z-fly,0.0667
react/react,247900,51255,2013-05-24T16:15:54Z,13.26,13052,132,2026-08-26T17:35:31Z,0,JavaScript,MIT License,False,main,False,False,N/A,13803,14632,0.9433,eps1lon,0.3
torvalds/linux,244481,64115,2011-09-04T22:48:12Z,14.97,0,0,2026-08-26T18:47:21Z,0,C,Other,False,master,False,False,N/A,0,0,0.0,N/A,0.0
affaan-m/ECC,243437,36822,2026-01-18T00:51:51Z,0.6,998,15,2026-08-26T18:48:47Z,0,JavaScript,MIT License,False,main,True,True,GITHUB;CUSTOM,668,721,0.9265,affaan-m,0.5333
trimstray/the-book-of-secret-knowledge,240485,14218,2018-06-23T10:43:14Z,8.18,122,0,2026-08-26T18:48:07Z,0,N/A,MIT License,False,master,False,True,OPEN_COLLECTIVE,0,0,0.0,crypt0rr,0.1034
mattpocock/skills,237788,20232,2026-02-03T11:15:53Z,0.56,95,7,2026-08-26T18:49:27Z,0,Shell,MIT License,False,main,True,False,N/A,318,726,0.438,mattpocock,0.9333
NousResearch/hermes-agent,236812,47877,2025-07-22T22:22:28Z,1.09,11899,29,2026-08-26T18:45:33Z,0,Python,MIT License,False,main,False,False,N/A,11867,24142,0.4915,teknium1,0.9333
TheAlgorithms/Python,224043,50992,2016-07-16T09:44:01Z,10.11,3090,0,2026-08-26T18:49:15Z,0,Python,MIT License,False,master,True,True,LIBERAPAY,1608,1754,0.9168,pre-commit-ci,0.2333
vuejs/vue,210687,33749,2013-07-29T03:24:51Z,13.08,1136,249,2026-08-26T18:43:55Z,0,TypeScript,MIT License,False,main,True,True,GITHUB;GITHUB;PATREON;OPEN_COLLECTIVE;TIDELIFT,9670,10034,0.9637,webfansplz,0.2
ossu/computer-science,208431,25793,2014-05-04T00:18:39Z,12.31,315,0,2026-08-26T18:43:35Z,0,HTML,MIT License,False,master,False,False,N/A,658,675,0.9748,kevintprivett,0.2667
multica-ai/andrej-karpathy-skills,207630,21165,2026-01-27T03:53:13Z,0.58,12,0,2026-08-26T18:44:37Z,0,N/A,N/A,False,main,False,False,N/A,0,0,0.0,forrestchang,0.25
n8n-io/n8n,202513,60401,2019-06-22T09:24:21Z,7.18,20512,779,2026-08-26T18:41:38Z,0,TypeScript,Other,False,master,False,False,N/A,9781,10122,0.9663,Matsuuu,0.2
anomalyco/opencode,201658,26152,2025-04-30T20:08:00Z,1.32,7860,865,2026-08-26T18:50:09Z,0,TypeScript,MIT License,False,dev,False,False,N/A,20840,24950,0.8353,opencode-agent,0.1667
deepseek-ai/deepseek-harness,197727,22469,2026-08-13T11:56:32Z,0.04,0,4,2026-08-26T18:49:47Z,0,TypeScript,MIT License,False,master,True,False,N/A,0,0,0.0,N/A,0.0
tensorflow/tensorflow,197630,76152,2015-11-07T01:19:20Z,10.8,49381,222,2026-08-26T18:27:19Z,0,C++,Apache License 2.0,False,master,False,False,N/A,40986,41724,0.9823,copybara-service,1.0
trekhleb/javascript-algorithms,196563,31035,2018-03-24T07:47:04Z,8.42,309,0,2026-08-26T17:50:48Z,0,JavaScript,MIT License,False,master,False,False,N/A,238,373,0.6381,trekhleb,0.2333
DigitalPlatDev/FreeDomain,195831,4239,2024-05-30T13:23:00Z,2.24,0,0,2026-08-26T18:47:09Z,0,Markdown,GNU Affero General Public License v3.0,False,main,True,True,CUSTOM,0,0,0.0,N/A,0.0
ultraworkers/claw-code,195117,108902,2026-03-31T08:58:08Z,0.41,143,0,2026-08-26T18:38:10Z,0,Rust,MIT License,False,main,False,True,GITHUB,2195,2212,0.9923,Yeachan-Heo,0.3667
microsoft/vscode,189623,41831,2015-09-03T20:23:38Z,10.98,52538,235,2026-08-26T18:34:04Z,0,TypeScript,MIT License,False,main,False,False,N/A,234028,251762,0.9296,connor4312,0.2667
ohmyzsh/ohmyzsh,189383,26582,2009-08-28T18:15:37Z,16.99,3660,0,2026-08-26T18:40:00Z,0,Shell,MIT License,False,master,True,True,GITHUB;GITHUB;GITHUB;GITHUB;OPEN_COLLECTIVE,4927,5080,0.9699,dependabot,0.4667
massgravel/Microsoft-Activation-Scripts,188358,17996,2020-01-12T23:03:34Z,6.62,0,31,2026-08-26T18:47:08Z,0,Batchfile,GNU General Public License v3.0,False,master,True,False,N/A,1074,1079,0.9954,N/A,0.0
yt-dlp/yt-dlp,187129,16145,2020-10-26T04:22:55Z,5.83,3421,136,2026-08-26T18:47:08Z,0,Python,The Unlicense,False,master,False,True,CUSTOM,9986,11971,0.8342,bashonly,0.5667
Significant-Gravitas/AutoGPT,186888,46050,2023-03-16T09:21:07Z,3.45,4807,118,2026-08-26T18:46:20Z,0,Python,Other,False,master,False,False,N/A,3654,3946,0.926,ntindle,0.5
CyC2018/CS-Notes,185665,50786,2018-02-13T14:56:24Z,8.53,374,0,2026-08-26T18:43:46Z,0,N/A,N/A,False,master,False,False,N/A,449,579,0.7755,Xunzhuo,0.2
jackfrued/Python-100-Days,185638,55708,2018-03-01T16:05:52Z,8.49,13,0,2026-08-26T17:58:55Z,0,Jupyter Notebook,N/A,False,master,False,False,N/A,193,737,0.2619,ccwanggl,0.0769
getify/You-Dont-Know-JS,184736,33428,2013-11-16T02:37:24Z,12.77,370,0,2026-08-26T17:56:51Z,0,N/A,Other,False,2nd-ed,False,False,N/A,947,947,1.0,liunnn1994,0.2
avelino/awesome-go,182329,13515,2014-07-06T13:42:15Z,12.14,3888,0,2026-08-26T18:44:50Z,0,Go,MIT License,False,main,True,True,GITHUB,736,759,0.9697,tphakala,0.2333
ollama/ollama,179509,17570,2023-06-26T19:39:32Z,3.16,3563,248,2026-08-26T18:47:34Z,0,Go,MIT License,False,main,False,False,N/A,8643,11070,0.7808,ParthSareen,0.3333
flutter/flutter,178663,31003,2015-03-06T22:54:58Z,11.47,49835,7,2026-08-26T18:40:50Z,0,Dart,"BSD 3-Clause ""New"" or ""Revised"" License",False,master,False,False,N/A,102787,115319,0.8913,engine-flutter-autoroll,0.5
microsoft/markitdown,176442,12947,2024-11-13T19:56:40Z,1.78,184,20,2026-08-26T18:46:40Z,0,Python,MIT License,False,main,True,False,N/A,181,583,0.3105,afourney,0.3667
github/gitignore,175464,82253,2010-11-08T20:17:14Z,15.79,1780,0,2026-08-26T18:43:18Z,0,N/A,Creative Commons Zero v1.0 Universal,False,main,True,False,N/A,0,0,0.0,wirecat,0.1
twbs/bootstrap,174650,78639,2011-07-29T21:19:00Z,15.07,9503,94,2026-08-26T18:14:09Z,0,MDX,MIT License,False,main,True,True,GITHUB;OPEN_COLLECTIVE,22841,22943,0.9956,mdo,0.6333
521xueweihan/HelloGitHub,173113,12666,2016-05-04T06:24:11Z,10.31,17,68,2026-08-26T18:46:40Z,0,Python,N/A,False,master,True,True,GITHUB;CUSTOM;CUSTOM,2710,3354,0.808,jp1017,0.2941
firecrawl/firecrawl,172727,9533,2024-04-15T21:02:29Z,2.36,1974,35,2026-08-26T18:46:02Z,0,TypeScript,GNU Affero General Public License v3.0,False,main,True,False,N/A,887,961,0.923,abimaelmartell,0.2333
anthropics/skills,171782,20423,2025-09-22T15:53:31Z,0.93,51,0,2026-08-26T18:48:36Z,0,Python,N/A,False,main,True,False,N/A,50,379,0.1319,rlancemartin,0.5
f/prompts.chat,167953,21669,2022-12-05T13:54:13Z,3.72,236,0,2026-08-26T18:46:18Z,0,HTML,Other,False,main,False,True,GITHUB,152,173,0.8786,f,0.3
AUTOMATIC1111/stable-diffusion-webui,164672,30558,2022-08-22T14:05:26Z,4.01,1875,27,2026-08-26T17:25:47Z,0,Python,GNU Affero General Public License v3.0,False,master,True,False,N/A,5491,7912,0.694,w-e-w,0.4667
huggingface/transformers,164466,34375,2018-10-29T13:56:00Z,7.82,20302,271,2026-08-26T18:45:01Z,0,Python,Apache License 2.0,False,main,False,False,N/A,18516,19380,0.9554,ydshieh,0.1333
jlevy/the-art-of-command-line,162173,14836,2015-05-20T15:11:03Z,11.27,317,0,2026-08-26T17:45:18Z,0,N/A,N/A,False,master,False,False,N/A,138,264,0.5227,LLyaudet,0.2
Snailclimb/JavaGuide,158050,46168,2018-05-07T13:27:00Z,8.3,1272,0,2026-08-26T18:48:43Z,0,JavaScript,Apache License 2.0,False,main,True,False,N/A,1143,1160,0.9853,bengbengbalabalabeng,0.1667
langflow-ai/langflow,153711,9937,2023-02-08T22:28:03Z,3.54,7393,305,2026-08-26T18:31:51Z,0,Python,MIT License,False,main,True,False,N/A,3214,3439,0.9346,erichare,0.4
langgenius/dify,153587,24271,2023-04-12T07:40:24Z,3.37,13632,169,2026-08-26T18:45:56Z,0,TypeScript,Other,False,main,True,False,N/A,18437,18730,0.9844,lyzno1,0.4
open-webui/open-webui,150014,21895,2023-10-06T22:08:27Z,2.89,4127,168,2026-08-26T18:35:00Z,0,Python,Other,False,main,True,True,GITHUB,9319,9473,0.9837,Classic298,0.5
Genymobile/scrcpy,148321,13644,2017-11-21T18:00:27Z,8.76,153,52,2026-08-26T18:47:07Z,0,C,Apache License 2.0,False,master,False,True,GITHUB;LIBERAPAY;CUSTOM,3357,6152,0.5457,rom1v,0.9667
msitarzewski/agency-agents,148190,23919,2025-10-13T12:12:29Z,0.87,227,0,2026-08-26T18:42:02Z,0,Shell,MIT License,False,main,True,True,GITHUB,88,148,0.5946,msitarzewski,0.6
airbnb/javascript,148135,26596,2012-11-01T23:13:50Z,13.81,822,0,2026-08-26T18:36:20Z,0,JavaScript,MIT License,False,master,False,False,N/A,1316,1416,0.9294,danbeam,0.0333
